iter	Passed	Remaining
0	144	144621
1	146	72880
2	147	48944
3	148	36969
4	149	29788
5	150	24995
6	152	21579
7	153	19010
8	154	17013
9	155	15413
10	157	14123
11	158	13031
12	159	12108
13	160	11318
14	161	10631
15	163	10028
16	164	9500
17	165	9029
18	166	8605
19	167	8225
20	169	7882
21	170	7571
22	171	7285
23	172	7022
24	173	6782
25	175	6560
26	176	6354
27	177	6162
28	178	5983
29	179	5815
30	181	5660
31	182	5519
32	183	5383
33	185	5257
34	186	5135
35	187	5018
36	188	4908
37	189	4804
38	190	4706
39	192	4612
40	193	4522
41	194	4437
42	196	4364
43	197	4294
44	198	4220
45	200	4149
46	201	4081
47	202	4015
48	203	3952
49	204	3891
50	206	3834
51	207	3777
52	208	3723
53	209	3671
54	210	3621
55	211	3573
56	213	3526
57	214	3481
58	215	3437
59	216	3394
60	217	3353
61	219	3313
62	220	3275
63	221	3237
64	222	3202
65	223	3167
66	224	3133
67	225	3092
68	226	3060
69	228	3030
70	229	2999
71	230	2970
72	231	2941
73	232	2912
74	233	2885
75	235	2858
76	237	2841
77	238	2816
78	239	2791
79	240	2767
80	241	2743
81	242	2719
82	244	2697
83	245	2675
84	246	2650
85	247	2629
86	248	2604
87	249	2586
88	252	2580
89	253	2563
90	254	2544
91	255	2526
92	257	2507
93	258	2489
94	259	2472
95	260	2455
96	261	2438
97	263	2421
98	264	2404
99	265	2389
100	266	2373
101	267	2353
102	268	2338
103	269	2323
104	270	2308
105	272	2297
106	273	2282
107	274	2268
108	275	2254
109	276	2241
110	278	2227
111	279	2214
112	280	2201
113	281	2188
114	282	2176
115	283	2162
116	284	2150
117	286	2139
118	287	2126
119	288	2114
120	289	2103
121	290	2092
122	291	2077
123	292	2066
124	293	2056
125	294	2045
126	296	2035
127	296	2022
128	298	2012
129	299	2005
130	300	1995
131	302	1986
132	303	1976
133	304	1967
134	305	1957
135	306	1948
136	307	1939
137	308	1929
138	310	1920
139	311	1911
140	312	1903
141	313	1895
142	314	1887
143	316	1879
144	317	1872
145	318	1864
146	319	1856
147	321	1848
148	322	1841
149	323	1833
150	324	1825
151	325	1818
152	327	1812
153	328	1805
154	329	1798
155	331	1791
156	332	1784
157	333	1777
158	334	1770
159	336	1764
160	337	1758
161	338	1751
162	339	1745
163	341	1739
164	342	1733
165	343	1726
166	344	1720
167	346	1714
168	347	1708
169	348	1702
170	349	1696
171	351	1690
172	352	1684
173	354	1681
174	355	1676
175	356	1671
176	358	1666
177	360	1662
178	361	1659
179	363	1656
180	364	1648
181	365	1643
182	367	1641
183	369	1637
184	370	1633
185	372	1629
186	373	1625
187	375	1622
188	377	1618
189	378	1614
190	380	1610
191	382	1609
192	383	1605
193	385	1600
194	386	1597
195	388	1592
196	389	1588
197	390	1583
198	392	1579
199	393	1574
200	395	1570
201	396	1566
202	397	1562
203	399	1557
204	400	1553
205	401	1548
206	403	1543
207	404	1539
208	405	1534
209	406	1530
210	408	1526
211	410	1524
212	411	1520
213	412	1515
214	413	1511
215	415	1506
216	416	1502
217	417	1498
218	418	1493
219	420	1489
220	421	1485
221	422	1480
222	423	1477
223	425	1473
224	426	1469
225	427	1465
226	429	1461
227	430	1457
228	431	1453
229	432	1448
230	434	1445
231	435	1441
232	436	1437
233	438	1434
234	439	1430
235	440	1426
236	441	1422
237	443	1418
238	444	1414
239	445	1410
240	446	1406
241	447	1402
242	449	1399
243	450	1395
244	451	1392
245	453	1389
246	454	1385
247	455	1381
248	456	1377
249	457	1373
250	459	1370
251	460	1366
252	461	1362
253	462	1358
254	463	1354
255	465	1351
256	466	1348
257	468	1347
258	469	1343
259	471	1342
260	473	1340
261	475	1339
262	476	1336
263	478	1333
264	480	1331
265	481	1329
266	483	1326
267	484	1324
268	486	1321
269	488	1320
270	489	1318
271	491	1314
272	492	1312
273	494	1309
274	495	1305
275	496	1302
276	497	1299
277	499	1296
278	500	1293
279	501	1289
280	502	1286
281	504	1283
282	505	1280
283	507	1278
284	508	1275
285	509	1272
286	510	1269
287	512	1266
288	513	1263
289	515	1261
290	516	1259
291	518	1255
292	519	1252
293	520	1250
294	521	1247
295	523	1244
296	524	1240
297	525	1238
298	526	1235
299	528	1232
300	529	1229
301	530	1226
302	531	1223
303	533	1220
304	534	1217
305	535	1214
306	537	1212
307	538	1210
308	539	1207
309	541	1204
310	542	1201
311	543	1198
312	544	1195
313	546	1192
314	547	1190
315	551	1193
316	553	1191
317	554	1188
318	555	1186
319	557	1184
320	558	1182
321	560	1180
322	562	1178
323	563	1175
324	564	1173
325	566	1170
326	567	1168
327	568	1165
328	570	1163
329	571	1160
330	573	1159
331	574	1156
332	576	1154
333	577	1151
334	578	1148
335	579	1145
336	580	1142
337	582	1140
338	583	1138
339	585	1136
340	586	1134
341	588	1131
342	589	1128
343	590	1126
344	591	1123
345	593	1121
346	594	1118
347	595	1116
348	597	1113
349	598	1110
350	599	1108
351	600	1105
352	601	1102
353	602	1100
354	605	1100
355	607	1098
356	608	1096
357	609	1093
358	611	1091
359	612	1088
360	613	1085
361	614	1083
362	615	1080
363	616	1077
364	618	1075
365	619	1073
366	620	1070
367	621	1067
368	622	1065
369	624	1062
370	625	1060
371	628	1060
372	629	1058
373	630	1055
374	632	1053
375	633	1050
376	634	1048
377	635	1045
378	636	1043
379	637	1040
380	639	1038
381	640	1035
382	641	1033
383	642	1031
384	643	1028
385	645	1026
386	646	1023
387	647	1021
388	651	1023
389	652	1021
390	654	1018
391	655	1016
392	656	1013
393	657	1011
394	659	1009
395	660	1007
396	661	1004
397	662	1002
398	663	999
399	665	997
400	666	995
401	667	992
402	668	990
403	669	988
404	671	987
405	673	984
406	674	982
407	675	980
408	676	977
409	677	975
410	679	973
411	680	970
412	681	968
413	682	966
414	683	963
415	685	961
416	686	959
417	687	957
418	688	955
419	689	952
420	691	950
421	692	948
422	694	946
423	695	944
424	696	942
425	697	939
426	698	937
427	700	935
428	701	933
429	702	930
430	703	928
431	704	926
432	705	924
433	707	922
434	708	920
435	709	918
436	710	915
437	712	913
438	713	911
439	714	909
440	716	907
441	717	905
442	718	903
443	719	901
444	720	899
445	722	896
446	723	894
447	724	892
448	725	890
449	726	888
450	728	886
451	729	884
452	730	882
453	732	880
454	733	878
455	734	876
456	735	873
457	737	872
458	738	870
459	739	868
460	740	866
461	742	864
462	743	862
463	744	859
464	745	857
465	746	855
466	747	853
467	749	851
468	750	849
469	751	847
470	752	845
471	753	843
472	754	841
473	756	839
474	757	837
475	758	835
476	759	833
477	760	830
478	762	828
479	763	826
480	764	825
481	765	823
482	767	821
483	768	819
484	769	817
485	770	815
486	771	812
487	772	810
488	774	808
489	775	806
490	776	804
491	777	802
492	778	801
493	780	799
494	781	797
495	783	795
496	784	793
497	785	792
498	787	790
499	788	788
500	789	786
501	791	784
502	793	783
503	794	781
504	795	780
505	797	778
506	798	776
507	799	774
508	800	772
509	802	770
510	803	768
511	804	766
512	805	765
513	807	763
514	808	761
515	809	759
516	810	757
517	811	755
518	812	753
519	814	751
520	815	749
521	816	747
522	817	745
523	818	743
524	820	742
525	821	740
526	822	738
527	823	736
528	824	734
529	825	732
530	827	730
531	828	728
532	829	726
533	830	724
534	831	722
535	833	721
536	834	719
537	835	717
538	836	715
539	837	713
540	838	711
541	839	709
542	841	707
543	842	706
544	843	704
545	844	702
546	845	700
547	847	699
548	848	697
549	849	695
550	851	693
551	852	691
552	853	689
553	854	687
554	855	686
555	856	684
556	858	682
557	859	680
558	860	678
559	861	677
560	862	675
561	864	673
562	865	671
563	866	669
564	867	668
565	868	666
566	870	664
567	871	662
568	872	660
569	873	659
570	875	657
571	876	655
572	877	654
573	879	652
574	880	650
575	881	649
576	882	647
577	884	645
578	885	643
579	886	641
580	887	640
581	889	638
582	890	636
583	891	635
584	893	633
585	894	631
586	896	630
587	897	628
588	898	627
589	899	625
590	901	623
591	902	622
592	904	620
593	905	618
594	906	617
595	907	615
596	909	613
597	910	611
598	911	610
599	912	608
600	914	606
601	915	605
602	917	603
603	919	602
604	920	600
605	921	599
606	922	597
607	924	595
608	925	594
609	926	592
610	927	590
611	928	588
612	930	587
613	931	585
614	932	583
615	934	582
616	935	580
617	936	578
618	937	577
619	939	575
620	940	573
621	941	572
622	942	570
623	944	568
624	945	567
625	946	565
626	947	563
627	949	562
628	950	560
629	951	558
630	952	557
631	954	555
632	955	553
633	956	552
634	958	550
635	959	549
636	960	547
637	962	545
638	963	544
639	964	542
640	965	541
641	967	539
642	968	537
643	969	536
644	970	534
645	972	532
646	973	531
647	974	529
648	976	527
649	977	526
650	978	524
651	979	523
652	981	521
653	982	519
654	983	518
655	984	516
656	986	515
657	988	513
658	989	512
659	991	510
660	992	509
661	995	508
662	997	506
663	998	505
664	999	503
665	1000	501
666	1002	500
667	1003	498
668	1004	497
669	1006	495
670	1007	493
671	1008	492
672	1009	490
673	1011	489
674	1012	487
675	1013	485
676	1014	484
677	1015	482
678	1017	480
679	1018	479
680	1019	477
681	1020	476
682	1022	474
683	1023	472
684	1025	471
685	1027	470
686	1028	468
687	1029	466
688	1030	465
689	1032	463
690	1033	462
691	1034	460
692	1035	458
693	1037	457
694	1038	455
695	1039	454
696	1041	452
697	1042	451
698	1043	449
699	1044	447
700	1046	446
701	1048	445
702	1049	443
703	1051	441
704	1052	440
705	1053	438
706	1054	436
707	1055	435
708	1056	433
709	1058	432
710	1059	430
711	1060	428
712	1061	427
713	1062	425
714	1063	424
715	1065	422
716	1066	420
717	1067	419
718	1069	418
719	1071	416
720	1072	414
721	1073	413
722	1074	411
723	1075	410
724	1077	408
725	1078	406
726	1079	405
727	1080	403
728	1081	402
729	1083	400
730	1084	399
731	1086	397
732	1087	396
733	1088	394
734	1089	392
735	1091	391
736	1092	389
737	1094	388
738	1095	386
739	1096	385
740	1097	383
741	1098	382
742	1099	380
743	1101	378
744	1102	377
745	1103	375
746	1104	374
747	1105	372
748	1107	371
749	1108	369
750	1109	367
751	1110	366
752	1111	364
753	1113	363
754	1114	361
755	1116	360
756	1117	358
757	1118	357
758	1119	355
759	1121	354
760	1122	352
761	1123	350
762	1124	349
763	1125	347
764	1126	346
765	1128	344
766	1129	343
767	1130	341
768	1131	339
769	1132	338
770	1134	336
771	1135	335
772	1137	334
773	1139	332
774	1140	331
775	1141	329
776	1142	327
777	1143	326
778	1145	324
779	1146	323
780	1147	321
781	1148	320
782	1150	318
783	1152	317
784	1153	315
785	1154	314
786	1156	312
787	1159	311
788	1161	310
789	1163	309
790	1164	307
791	1165	306
792	1167	304
793	1168	303
794	1169	301
795	1170	300
796	1172	298
797	1173	297
798	1174	295
799	1176	294
800	1177	292
801	1178	290
802	1180	289
803	1182	288
804	1183	286
805	1184	285
806	1185	283
807	1186	282
808	1188	280
809	1189	278
810	1190	277
811	1191	275
812	1192	274
813	1193	272
814	1195	271
815	1196	269
816	1197	268
817	1198	266
818	1199	265
819	1201	263
820	1202	262
821	1204	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1209	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1215	245
832	1217	243
833	1218	242
834	1219	240
835	1220	239
836	1221	237
837	1222	236
838	1224	235
839	1225	233
840	1227	231
841	1228	230
842	1229	228
843	1230	227
844	1231	225
845	1233	224
846	1234	222
847	1235	221
848	1236	219
849	1238	218
850	1239	216
851	1240	215
852	1241	213
853	1242	212
854	1243	210
855	1245	209
856	1246	208
857	1248	206
858	1249	205
859	1250	203
860	1251	202
861	1252	200
862	1253	199
863	1255	197
864	1256	196
865	1257	194
866	1258	193
867	1259	191
868	1260	190
869	1262	188
870	1263	187
871	1264	185
872	1265	184
873	1266	182
874	1268	181
875	1269	179
876	1271	178
877	1272	176
878	1273	175
879	1274	173
880	1275	172
881	1276	170
882	1278	169
883	1279	167
884	1280	166
885	1281	164
886	1282	163
887	1284	161
888	1285	160
889	1286	159
890	1287	157
891	1288	156
892	1291	154
893	1292	153
894	1293	151
895	1294	150
896	1296	148
897	1297	147
898	1298	145
899	1299	144
900	1300	142
901	1301	141
902	1303	139
903	1304	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1310	131
909	1311	129
910	1313	128
911	1314	126
912	1315	125
913	1316	123
914	1317	122
915	1318	120
916	1320	119
917	1321	118
918	1322	116
919	1323	115
920	1324	113
921	1325	112
922	1327	110
923	1328	109
924	1329	107
925	1330	106
926	1331	104
927	1332	103
928	1334	102
929	1336	100
930	1337	99
931	1338	97
932	1339	96
933	1340	94
934	1341	93
935	1342	91
936	1343	90
937	1345	88
938	1346	87
939	1347	86
940	1348	84
941	1350	83
942	1351	81
943	1352	80
944	1353	78
945	1355	77
946	1357	75
947	1358	74
948	1359	73
949	1361	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1367	64
955	1368	62
956	1369	61
957	1371	60
